Username,Grade,Operation,Start Level,Reached Level,Level Jump,MD Accuracy Start (%),Practice Accuracy (%),Total Attempts,Total Time (min),Mistake 1,Mistake 2,Correct 1,Correct 2
20018149254,6,addition,,,,,,60,22,27 + 55 = ? (answered 315),64 + 34 = ? (answered 36),8 + 24563 = 24571,13544 + 504 = 14048
20021422213,6,addition,,,,,,60,33,6 + 8 = ? (answered 13),3 + 9 = ? (answered 11),79283 + 2333 = 81616,16464 + 75897 = 92361
20021422213,6,subtraction,,,,,98.44,316,9930,19 - 4 = ? (answered 51),17 - 9 = ? (answered 7),52 - 6 = 46,62 - 9 = 53
20023226168,6,addition,,,,,77.42,55,10090,3 + 60 = ? (answered 9),39 + 0 = ? (answered 24),53 + 42 = nan,14 + 53 = nan
20024050762,6,addition,,,,,100.0,109,42,27 + 55 = ? (answered 81),900 + 9 = ? (answered 18),350 + 427 = 777,533 + 103 = 636
20024275188,6,addition,,,,,,45,10,812 + 39 = ? (answered 841),900 + 9 = ? (answered 99),6941 + 390 = 7331,5738 + 2727 = 8465
20024907805,6,addition,,,,,,48,16,,,5738 + 2727 = 8465,3581 + 4909 = 8490
20025379384,6,addition,,,,,,48,17,0 + 6 = ? (answered 0),30 + 50 = ? (answered 90),6000 + 3350 = 9350,3581 + 4909 = 8490
20025687495,6,addition,,,,,95.0,120,7647,27 + 55 = ? (answered 62),812 + 39 = ? (answered 861),526 + 61 = 587,10 + 200 = 210
20026414802,6,addition,,,,,99.19,171,1492,6 + 8 = ? (answered 19),89 + 78 = ? (answered 169),303 + 11 = 314,600 + 7 = 607
20026457747,6,addition,,,,,,60,36,27 + 55 = ? (answered 77),164 + 76 = ? (answered 241),7093 + 69711 = 76804,68020 + 28281 = 96301
20026563550,6,addition,,,,,,48,26,6634 + 2576 = ? (answered 9216),,6000 + 3350 = 9350,3581 + 4909 = 8490
20029872872,6,addition,,,,,,70,20,73 + 0 = ? (answered 733),6 + 36 = ? (answered 66),68020 + 28281 = 96301,16464 + 75897 = 92361
20030237868,6,addition,,,,,,48,17,900 + 9 = ? (answered 99),21 + 328 = ? (answered 359),6000 + 3350 = 9350,3581 + 4909 = 8490
20036951688,6,addition,,,,,,60,20,89999 + 1 = ? (answered 9000),79283 + 2333 = ? (answered 81606),68020 + 28281 = 96301,16464 + 75897 = 92361
20047910843,6,addition,,,,,98.86,148,29,27 + 55 = ? (answered 12),6 + 187 = ? (answered 5),23 + 36 = 59,65 + 13 = 78
20055657999,6,addition,,,,,,16,4,9 + 9 = ? (answered 1),,39 + 0 = 39,73 + 0 = 73
2005567999,6,addition,,,,,,53,24,725 + 109 = ? (answered 830),8 + 24563 = ? (answered 244571),52314 + 54 = 52368,13 + 78987 = 79000
20059372230,6,addition,,,,,,2,0,2 + 7 = ? (answered 5554),5 + 3 = ? (answered 6),,
20060116828,6,addition,,,,,,60,39,900 + 9 = ? (answered 1800),6 + 187 = ? (answered 247),79283 + 2333 = 81616,68020 + 28281 = 96301
20060227713,6,addition,,,,,,48,5747,6 + 187 = ? (answered 194),,5738 + 2727 = 8465,3581 + 4909 = 8490
20062426906,6,addition,,,,,85.25,109,10187,2 + 7 = ? (answered 4),4 + 7 = ? (answered 6),0 + 0 = 3,0 + 0 = 5
20063419973,6,addition,,,,,,48,41,64 + 18 = ? (answered 152),900 + 9 = ? (answered 90),300 + 500 = 800,3581 + 4909 = 8490
20067491447,6,addition,,,,,98.33,108,113,900 + 9 = ? (answered 99),9 + 99 = ? (answered 107),52 + 4 = 56,10 + 200 = 210
20068983465,6,addition,,,,,100.0,75,11541,3 + 9 = ? (answered 122),8 + 24563 = ? (answered 245677),0 + 0 = 45698,0 + 0 = 30954
20069567757,6,addition,,,,,92.25,189,98,0 + 6 = ? (answered 0),30 + 31 = ? (answered 31),656 + 1234 = 1890,656 + 1238 = 1894
20070742572,6,addition,,,,,100.0,75,158,89 + 78 = ? (answered 166),6 + 187 = ? (answered 148),0 + 0 = 792,0 + 0 = 389
20070971842,6,addition,,,,,88.64,148,7132,1 + 4 = ? (answered 6),4 + 7 = ? (answered 6),23 + 36 = 59,65 + 13 = 78
20076601461,6,addition,,,,,96.08,111,49,8 + 5 = ? (answered 16),64 + 18 = ? (answered 92),230 + 455 = 685,103 + 390 = 493
20078211407,6,addition,,,,,100.0,85,11531,64 + 18 = ? (answered 80),30 + 50 = ? (answered nan),16 + 72 = nan,17 + 31 = nan
20078898219,6,addition,,,,,100.0,72,6,2 + 7 = ? (answered 8),64 + 18 = ? (answered 0),0 + 5 = 5,0 + 0 = 81
20080007777,6,addition,,,,,94.12,99,47,64 + 18 = ? (answered 712),89 + 78 = ? (answered 17),328 + 451 = 779,103 + 390 = 493
20086045430,6,addition,,,,,96.11,548,11515,900 + 9 = ? (answered 9),164 + 76 = ? (answered 896),1097 + 1925 = 3022,6 + 5997 = 6003
20087473761,6,addition,,,,,98.04,99,10096,900 + 9 = ? (answered 18),6 + 8 = ? (answered 15),328 + 451 = 779,103 + 390 = 493
20088553415,6,addition,,,,,,6,0,,,0 + 6 = 6,4 + 7 = 11
20089020361,6,addition,,,,,98.96,200,37,5 + 3 = ? (answered 9),5 + 3 = ? (answered 9),6 + 5 = 11,6 + 6 = 12
20090586310,6,addition,,,,,100.0,49,93,3 + 60 = ? (answered 90),6 + 36 = ? (answered 96),3581 + 4909 = 8490,3 + 4 = 7
20091122090,6,addition,,,,,,48,23,6 + 8 = ? (answered 4),64 + 34 = ? (answered 8),7713 + 17 = 7730,3581 + 4909 = 8490
20098668434,6,addition,,,,,91.67,108,48,30 + 31 = ? (answered 6),89 + 826 = ? (answered 906),0 + 0 = 3206,0 + 0 = 6582
20099277296,6,addition,,,,,92.6,425,10002,7 + 7 = ? (answered 18),9 + 99 = ? (answered 180),50 + 2010 = 2060,8 + 1230 = 1238
20100649022,6,addition,,,,,62.5,72,17253,0 + 6 = ? (answered 0),30 + 31 = ? (answered 1),2300 + 1200 = 3500,2000 + 4000 = 6000
20101827577,6,addition,,,,,,60,5663,2 + 7 = ? (answered 8),1 + 4 = ? (answered 3),64 + 18 = 82,64 + 34 = 98
20102542619,6,addition,,,,,87.5,148,5644,7 + 9 = ? (answered 616),900 + 9 = ? (answered 99),40 + 10 = 50,65 + 13 = 78
20104352379,6,addition,,,,,87.5,84,33,89 + 78 = ? (answered 104),89 + 826 = ? (answered 240),6540 + 1204 = 7744,2000 + 4000 = 6000
20107409506,6,addition,,,,,,37,15,3 + 60 = ? (answered 36),30 + 31 = ? (answered 16),201 + 292 = 493,998 + 88 = 1086
20112,6,addition,,,,,,60,20,27 + 55 = ? (answered 83),89 + 78 = ? (answered 161),68020 + 28281 = 96301,69402 + 11901 = 81303
20115,6,addition,,,,,,60,25,7 + 9 = ? (answered 15),900 + 9 = ? (answered 999),43562 + 4 = 43566,68020 + 28281 = 96301
20122238987,6,addition,,,,,100.0,81,2895,546 + 8736 = ? (answered 9382),5738 + 2727 = ? (answered 8565),1730 + 1045 = 2775,4789 + 3210 = 7999
20122702090,6,addition,,,,,,48,63,39 + 0 = ? (answered 40),14 + 2 = ? (answered 17),6000 + 3350 = 9350,6634 + 2576 = 9210
20123766510,6,addition,,,,,92.62,548,11511,900 + 9 = ? (answered 9),812 + 39 = ? (answered 841),7104 + 1997 = 9101,6 + 5997 = 6003
20123766510,6,subtraction,,,,,,60,1471,9 - 6 = ? (answered 4),13 - 5 = ? (answered 9),55291 - 6833 = 48458,54785 - 36859 = 17926
20124279757,6,addition,,,,,,48,21,725 + 109 = ? (answered 824),,6000 + 3350 = 9350,3581 + 4909 = 8490
20128157429,6,addition,,,,,,48,20,27 + 55 = ? (answered 83),900 + 9 = ? (answered 99),6000 + 3350 = 9350,6634 + 2576 = 9210
20137032708,6,addition,,,,,94.44,132,8519,64 + 18 = ? (answered 62),3 + 9 = ? (answered 11),325 + 4200 = 4525,4356 + 201 = 4557
20142718330,6,addition,,,,,,48,15,8 + 5 = ? (answered 14),9 + 9 = ? (answered 19),73 + 0 = 73,6 + 36 = 42
20142722278,6,addition,,,,,82.07,244,10091,27 + 55 = ? (answered 77),64 + 34 = ? (answered 88),0 + 0 = 271,591 + 367 = 958
20142722278,6,subtraction,,,,,,60,32,7 - 7 = ? (answered 7),52 - 5 = ? (answered 48),13 - 5 = 8,19 - 4 = 15
20161258477,6,addition,,,,,,48,24,64 + 18 = ? (answered 822),7 + 7 = ? (answered 1),6000 + 3350 = 9350,3581 + 4909 = 8490
2016156,6,addition,,,,,,25,4,,,64 + 18 = 82,900 + 9 = 909
20171132440,6,addition,,,,,,48,26,7 + 7 = ? (answered 114),30 + 50 = ? (answered 70),6000 + 3350 = 9350,3581 + 4909 = 8490
20173648887,6,addition,,,,,98.81,96,1453,2 + 7 = ? (answered 99),8 + 5 = ? (answered 1),0 + 0 = 13,0 + 0 = 15
20180539055,6,addition,,,,,94.44,96,1448,89 + 78 = ? (answered 178),27 + 55 = ? (answered 8),200 + 101 = 301,153 + 300 = 453
20188201864,6,addition,,,,,,45,44,4 + 0 = ? (answered 5),1 + 4 = ? (answered 4),546 + 8736 = 9282,5738 + 2727 = 8465
20190187136,6,addition,,,,,,60,36,7 + 9 = ? (answered 61),30 + 31 = ? (answered 41),69402 + 11901 = 81303,68020 + 28281 = 96301
20194046197,6,addition,,,,,,37,11,64 + 34 = ? (answered 82),11 + 44 = ? (answered 46),201 + 292 = 493,998 + 88 = 1086
20208490526,6,addition,,,,,93.5,183,7170,5013 + 814 = ? (answered 5807),6634 + 2576 = ? (answered 8210),16900 + 3100 = 20000,30902 + 19132 = 50034
20217926332,6,addition,,,,,,40,33,2 + 7 = ? (answered 555686656),5 + 3 = ? (answered 98),7713 + 17 = 7730,62 + 8887 = 8949
20219149819,6,addition,,,,,98.93,247,7206,4 + 7 = ? (answered 12),64 + 18 = ? (answered 72),0 + 0 = 27,0 + 0 = 46
20223563998,6,addition,,,,,94.38,368,47626,812 + 39 = ? (answered 51),164 + 76 = ? (answered 167),0 + 0 = 3206,0 + 0 = 6582
20226820323,6,addition,,,,,,60,32,9 + 99 = ? (answered 107),62 + 8887 = ? (answered 88149),79283 + 2333 = 81616,16464 + 75897 = 92361
20226820323,6,subtraction,,,,,100.0,80,7085,90 - 6 = ? (answered 94),67 - 9 = ? (answered 57),14 - 11 = 3,75 - 35 = 40
20267162452,6,addition,,,,,84.62,99,75,2 + 7 = ? (answered 8),14 + 2 = ? (answered 14),65432 + 1201 = 66633,3651 + 10020 = 13671
20270461398,6,addition,,,,,100.0,60,37,89 + 78 = ? (answered 168),21 + 328 = ? (answered 538),1006 + 2090 = 3096,6543 + 2135 = 8678
20313255001,6,addition,,,,,,36,9,30 + 50 = ? (answered 35),27 + 55 = ? (answered 84),415 + 550 = 965,201 + 292 = 493
20326429450,6,addition,,,,,95.83,168,64,6 + 8 = ? (answered 15),900 + 9 = ? (answered 9009),4463 + 100 = 4563,0 + 0 = 6582
20340235511,6,addition,,,,,91.56,617,14594,39 + 0 = ? (answered 36),64 + 34 = ? (answered 97),29 + 1509 = 1538,1543 + 490 = 2033
20340235511,6,subtraction,,,,,98.25,105,5633,5 - 0 = ? (answered 0),59 - 0 = ? (answered 0),0 - 0 = 2,0 - 0 = 19
20346857029,6,addition,,,,,,48,20,14 + 2 = ? (answered 15),7713 + 17 = ? (answered 8730),6941 + 390 = 7331,3581 + 4909 = 8490
20350929918,6,addition,,,,,,48,20,27 + 55 = ? (answered 84),64 + 18 = ? (answered 85),5738 + 2727 = 8465,6000 + 3350 = 9350
20413843980,6,addition,,,,,93.33,120,7073,64 + 18 = ? (answered 74),725 + 109 = ? (answered 833),120 + 1 = 121,10 + 200 = 210
20419844139,6,addition,,,,,100.0,73,42,4 + 0 = ? (answered 8),64 + 18 = ? (answered 84),0 + 0 = 81,14 + 63 = nan
20424649547,6,addition,,,,,97.03,1057,21514,4 + 0 = ? (answered 8),6 + 36 = ? (answered 72),29 + 1509 = 1538,1543 + 490 = 2033
20424649547,6,subtraction,,,,,100.0,376,7124,10 - 3 = ? (answered 8),11 - 2 = ? (answered 10),1 - 1 = 0,2 - 2 = 0
20430711280,6,addition,,,,,,54,1442,7 + 7 = ? (answered 61),64 + 18 = ? (answered 72),5 + 3495 = 3500,6000 + 3350 = 9350
2043711280,6,addition,,,,,,60,53,39 + 0 = ? (answered 30),64 + 18 = ? (answered 74),300 + 500 = 800,6634 + 2576 = 9210
20447236257,6,addition,,,,,,60,21,30 + 50 = ? (answered 8o),5 + 55 = ? (answered 6o),68020 + 28281 = 96301,16464 + 75897 = 92361
20454413897,6,addition,,,,,86.11,96,977,2 + 7 = ? (answered 67+8),8 + 5 = ? (answered 68),6 + 3 = 9,2 + 6 = 8
20462390590,6,addition,,,,,91.67,72,7249,4 + 7 = ? (answered 12),30 + 31 = ? (answered 6),0 + 0 = 75,0 + 0 = 81
20470405148,6,addition,,,,,94.79,144,11501,64 + 18 = ? (answered 80),27 + 55 = ? (answered 19),80 + 326 = nan,500 + 3 = nan
20487565541,6,addition,,,,,,48,12,,,998 + 88 = 1086,3581 + 4909 = 8490
20487565541,6,multiplication,,,,,100.0,46,16,69 × 37 = ? (answered 2523),393 × 19 = ? (answered 7164),0 × 0 = 1233,0 × 0 = 1505
20487565541,6,subtraction,,,,,,48,5,584 - 88 = ? (answered 594),,2352 - 1844 = 508,9584 - 899 = 8685
20491445670,6,addition,,,,,58.33,60,17,7 + 9 = ? (answered 61),3 + 60 = ? (answered 36),0 + 0 = 6,0 + 0 = 7
20501461654,6,addition,,,,,100.0,72,54,6 + 36 = ? (answered 41),30 + 50 = ? (answered 70),0 + 0 = 7776,6543 + 2135 = 8678
20543803788,6,addition,,,,,94.44,120,13039,164 + 76 = ? (answered 944),998 + 88 = ? (answered 1878),8543 + 30 = 8573,62 + 2123 = 2185
20551298686,6,addition,,,,,95.24,81,5611,2 + 7 = ? (answered 98),3 + 9 = ? (answered 1),0 + 0 = 43,0 + 0 = 81
20553863307,6,addition,,,,,98.55,186,23126,6 + 36 = ? (answered 72),64 + 18 = ? (answered 77),426 + 3 = 429,8 + 701 = 709
20560063087,6,addition,,,,,91.28,220,36006,3 + 9 = ? (answered 11),6 + 36 = ? (answered 41),5631 + 179 = 5810,5439 + 1932 = 7371
20581916884,6,addition,,,,,,60,5643,3 + 9 = ? (answered 21),11 + 44 = ? (answered 51),68020 + 28281 = 96301,16464 + 75897 = 92361
20581916884,6,subtraction,,,,,96.72,121,1464,43 - 17 = ? (answered 46),67 - 9 = ? (answered 57),0 - 0 = 26,70 - 40 = 30
20584269148,6,addition,,,,,100.0,69,37,89 + 78 = ? (answered 132),900 + 9 = ? (answered 999),5 + 1532 = 1537,26 + 14320 = 14346
20596941047,6,addition,,,,,,48,51,4 + 7 = ? (answered 1),3 + 60 = ? (answered 9),6634 + 2576 = 9210,3581 + 4909 = 8490
20622860410,6,addition,,,,,100.0,75,105,3 + 9 = ? (answered 13),6 + 187 = ? (answered 196),0 + 0 = 45698,0 + 0 = 30954
20627721081,6,addition,,,,,100.0,60,15,2 + 7 = ? (answered 14),5 + 3 = ? (answered 15),0 + 0 = 7,0 + 0 = 9
2063567143,6,addition,,,,,98.33,120,56,6 + 36 = ? (answered 72),9 + 99 = ? (answered 189),526 + 61 = 587,10 + 200 = 210
20660154354,6,addition,,,,,100.0,78,7145,6 + 36 = ? (answered 43),64 + 18 = ? (answered 72),200 + 600 = 800,100 + 201 = 301
20682504278,6,addition,,,,,93.09,436,4432,2 + 7 = ? (answered 11),5 + 3 = ? (answered 13),71 + 6 = 77,82 + 6 = 88
20704124606,6,addition,,,,,,45,35,3 + 60 = ? (answered 33),89 + 78 = ? (answered 166),546 + 8736 = 9282,5738 + 2727 = 8465
20714453794,6,addition,,,,,,48,36,900 + 9 = ? (answered 90009),11 + 44 = ? (answered 56),6634 + 2576 = 9210,5738 + 2727 = 8465
20762172766,6,addition,,,,,99.21,1057,28607,11 + 44 = ? (answered 56),6 + 36 = ? (answered 72),29 + 1509 = 1538,1543 + 490 = 2033
20762172766,6,subtraction,,,,,,29,5,17 - 9 = ? (answered 6),67 - 9 = ? (answered 56),445 - 404 = 41,872 - 58 = 814
20787910350,6,addition,,,,,,48,30,27 + 55 = ? (answered 70),89 + 78 = ? (answered 157),5738 + 2727 = 8465,6000 + 3350 = 9350
20869749596,6,addition,,,,,,48,33,5013 + 814 = ? (answered 5826),,5738 + 2727 = 8465,3581 + 4909 = 8490
20987690850,6,addition,,,,,100.0,147,44,5 + 3 = ? (answered 9),89 + 78 = ? (answered 120),43 + 32 = 75,23 + 36 = 59
22621895330,6,addition,,,,,,60,25,5 + 3495 = ? (answered 3450),3581 + 4909 = ? (answered 4490),79283 + 2333 = 81616,68020 + 28281 = 96301
22657668708,6,addition,,,,,87.5,96,20121,3 + 60 = ? (answered 9),900 + 9 = ? (answered 300),165 + 403 = 568,230 + 455 = 685
22706704727,6,addition,,,,,,36,1,9 + 9 = ? (answered 28),64 + 34 = ? (answered 78),21 + 328 = 349,201 + 292 = 493
22706704727,6,multiplication,,,,,,24,2,6 × 0 = ? (answered 6),30 × 20 = ? (answered 1),65 × 13 = 845,37 × 23 = 851
22706704727,6,subtraction,,,,,,36,4,91 - 76 = ? (answered 75),872 - 58 = ? (answered 890),601 - 518 = 83,935 - 167 = 768
22744627182,6,addition,,,,,100.0,114,54,30 + 50 = ? (answered 70),6 + 36 = ? (answered 39),42 + 35 = nan,57 + 20 = nan
2274467182,6,addition,,,,,91.67,72,15,3 + 60 = ? (answered 9),14 + 2 = ? (answered 34),0 + 0 = 30,0 + 0 = 81
22746162428,6,addition,,,,,94.44,84,10138,30 + 31 = ? (answered 601),64 + 18 = ? (answered 77),213 + 600 = 813,303 + 115 = 418
22784442365,6,addition,,,,,,60,22,64 + 18 = ? (answered 84),1 + 4 = ? (answered 54),68020 + 28281 = 96301,16464 + 75897 = 92361
22784442365,6,subtraction,,,,,,47,26,445 - 404 = ? (answered 441),91 - 76 = ? (answered 14),9175 - 5205 = 3970,5000 - 1 = 4999
22870754978,6,addition,,,,,83.33,60,21,7 + 7 = ? (answered 15),64 + 18 = ? (answered 18),12 + 23 = 35,0 + 0 = 30
30122012,6,addition,,,,,,60,35,900 + 9 = ? (answered 1800),43562 + 4 = ? (answered 83562),68020 + 28281 = 96301,16464 + 75897 = 92361
32145,6,addition,,,,,71.92,206,10171,6 + 8 = ? (answered 15),6 + 187 = ? (answered 93),1153 + 853 = 2006,1253 + 753 = 2006
78945,6,addition,,,,,,60,22,89 + 826 = ? (answered 1000),89 + 78 = ? (answered 166),79283 + 2333 = 81616,16464 + 75897 = 92361
8297645255,6,addition,,,,,,60,27,62 + 8887 = ? (answered 8893),3581 + 4909 = ? (answered 1),69402 + 11901 = 81303,68020 + 28281 = 96301
8297645255,6,subtraction,,,,,98.67,135,704,9 - 6 = ? (answered 4),12 - 8 = ? (answered 6),949 - 929 = 20,677 - 3 = 674
aryan,6,addition,,,,,71.15,313,8609,8 + 5 = ? (answered 14),6 + 8 = ? (answered 16),4 + 52 = 56,0 + 0 = 20
query_processor.pipeline$_STAR_run_STAR_.invokeStatic(pipeline.clj:102),query_processor.pipeline$_STAR_run_STAR_.invoke(pipeline.clj:95),unknown,,,,,,1,0,"util.ssh$do_with_ssh_tunnel.invokeStatic(ssh.clj:165) ? util.ssh$do_with_ssh_tunnel.invoke(ssh.clj:154) = ? (answered class:""class clojure.lang.ExceptionInfo"")",,,
